Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
S P D;16471321;43.7;16099019;42.6
C D U;14423157;38.3;14367302;38.0
C S U;4008514;10.6;4027499;10.6
F.D.P.;2417683;6.4;2995085;7.9
AUD;19490;0.1;22202;0.1
AVP;2636;0.0;4723;0.0
C.B.V.;4876;0.0;6720;0.0
D K P;170855;0.5;118581;0.3
E A P;3177;0.0;6811;0.0
GIM;2037;0.0;4759;0.0
KPD;8822;0.0;22714;0.1
K B W;21414;0.1;20018;0.1
N P D;136028;0.4;122661;0.3
RFP;227;0.0;499;0.0
U A P.1;765;0.0;217;0.0
VL.1;701;0.0;3706;0.0
