Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
S P D;1781563;31.9;1643202;29.3
C D U;2880622;51.5;2616971;46.7
C S U;0;0.0;0;0.0
F.D.P.;339391;6.1;670924;12.0
GRUENE;454969;8.1;559440;10.0
A S D;0;0.0;0;0.0
B P;0;0.0;0;0.0
C.B.V.;0;0.0;0;0.0
ZENTRUM;2656;0.0;9954;0.2
MUENDIGE;611;0.0;7376;0.1
FRAUEN;0;0.0;15441;0.3
F A P;164;0.0;0;0.0
M L P D;0;0.0;3512;0.1
N P D;47386;0.8;54996;1.0
OE D P;10457;0.2;24287;0.4
PATRIOTEN;1617;0.0;2870;0.1
FAMILIE;0;0.0;0;0.0
F S U;0;0.0;0;0.0
U A P;0;0.0;68880;1.2
