Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
S P D;1912139;28.5;1816885;27.0
C D U;0;0.0;0;0.0
C S U;3859244;57.6;3715827;55.1
F.D.P.;322983;4.8;545865;8.1
GRUENE;491060;7.3;518122;7.7
A S D;0;0.0;0;0.0
B P;8024;0.1;26367;0.4
C.B.V.;741;0.0;5282;0.1
ZENTRUM;0;0.0;0;0.0
MUENDIGE;0;0.0;6714;0.1
FRAUEN;0;0.0;14841;0.2
F A P;0;0.0;0;0.0
M L P D;0;0.0;1607;0.0
N P D;34764;0.5;42813;0.6
OE D P;22651;0.3;39489;0.6
PATRIOTEN;9236;0.1;5175;0.1
FAMILIE;0;0.0;0;0.0
F S U;0;0.0;151;0.0
U A P;0;0.0;44891;0.7
