Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
S P D;211791;49.5;198920;46.5
C D U;135600;31.7;123745;28.9
C S U;0;0.0;0;0.0
F.D.P.;19668;4.6;37725;8.8
GRUENE;50166;11.7;62130;14.5
A S D;2210;0.5;1834;0.4
B P;0;0.0;0;0.0
C.B.V.;0;0.0;0;0.0
ZENTRUM;0;0.0;0;0.0
MUENDIGE;0;0.0;259;0.1
FRAUEN;0;0.0;771;0.2
F A P;0;0.0;405;0.1
M L P D;0;0.0;137;0.0
N P D;2293;0.5;2100;0.5
OE D P;0;0.0;0;0.0
PATRIOTEN;185;0.0;157;0.0
FAMILIE;0;0.0;0;0.0
F S U;0;0.0;0;0.0
U A P;0;0.0;5662;1.3
