Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
S P D;458054;44.2;427872;41.2
C D U;423372;40.9;388517;37.4
C S U;0;0.0;0;0.0
F.D.P.;49812;4.8;99746;9.6
GRUENE;93096;9.0;114508;11.0
A S D;0;0.0;0;0.0
B P;0;0.0;0;0.0
C.B.V.;0;0.0;0;0.0
ZENTRUM;286;0.0;0;0.0
MUENDIGE;0;0.0;0;0.0
FRAUEN;0;0.0;1947;0.2
F A P;0;0.0;0;0.0
M L P D;0;0.0;335;0.0
N P D;1575;0.2;4262;0.4
OE D P;0;0.0;0;0.0
PATRIOTEN;1434;0.1;924;0.1
FAMILIE;0;0.0;0;0.0
F S U;0;0.0;0;0.0
U A P;0;0.0;8542;0.8
