Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
S P D;1467047;41.6;1370454;38.7
C D U;1586410;45.0;1463043;41.3
C S U;0;0.0;0;0.0
F.D.P.;160446;4.6;323594;9.1
GRUENE;262386;7.4;334227;9.4
A S D;349;0.0;0;0.0
B P;0;0.0;0;0.0
C.B.V.;0;0.0;0;0.0
ZENTRUM;658;0.0;0;0.0
MUENDIGE;0;0.0;0;0.0
FRAUEN;0;0.0;9591;0.3
F A P;0;0.0;0;0.0
M L P D;0;0.0;1120;0.0
N P D;21987;0.6;27076;0.8
OE D P;1739;0.0;8040;0.2
PATRIOTEN;2596;0.1;2664;0.1
FAMILIE;0;0.0;0;0.0
F S U;0;0.0;0;0.0
U A P;0;0.0;22459;0.6
