Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
S P D;2056431;43.4;1967443;41.4
C D U;2125996;44.9;1969967;41.5
C S U;0;0.0;0;0.0
F.D.P.;208522;4.4;419882;8.8
GRUENE;299636;6.3;353721;7.4
A S D;592;0.0;0;0.0
B P;0;0.0;0;0.0
C.B.V.;0;0.0;0;0.0
ZENTRUM;236;0.0;0;0.0
MUENDIGE;0;0.0;3591;0.1
FRAUEN;0;0.0;0;0.0
F A P;185;0.0;0;0.0
M L P D;0;0.0;1174;0.0
N P D;21605;0.5;21984;0.5
OE D P;905;0.0;7507;0.2
PATRIOTEN;2772;0.1;2876;0.1
FAMILIE;0;0.0;754;0.0
F S U;0;0.0;130;0.0
U A P;0;0.0;20327;0.4
