Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
S P D;4871377;44.9;4693081;43.2
C D U;4731211;43.6;4357794;40.1
C S U;0;0.0;0;0.0
F.D.P.;441311;4.1;909141;8.4
GRUENE;708622;6.5;813071;7.5
A S D;0;0.0;0;0.0
B P;0;0.0;0;0.0
C.B.V.;0;0.0;0;0.0
ZENTRUM;0;0.0;9081;0.1
MUENDIGE;0;0.0;6690;0.1
FRAUEN;0;0.0;15799;0.1
F A P;0;0.0;0;0.0
M L P D;596;0.0;3579;0.0
N P D;26935;0.2;41530;0.4
OE D P;0;0.0;16395;0.2
PATRIOTEN;5406;0.0;3931;0.0
FAMILIE;130;0.0;0;0.0
F S U;0;0.0;507;0.0
U A P;352;0.0;52619;0.5
