Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
S P D;966655;39.4;912175;37.1
C D U;1183078;48.2;1110633;45.1
C S U;0;0.0;0;0.0
F.D.P.;118501;4.8;223350;9.1
GRUENE;152770;6.2;183602;7.5
A S D;0;0.0;0;0.0
B P;0;0.0;0;0.0
C.B.V.;0;0.0;0;0.0
ZENTRUM;0;0.0;0;0.0
MUENDIGE;0;0.0;0;0.0
FRAUEN;0;0.0;0;0.0
F A P;0;0.0;0;0.0
M L P D;0;0.0;1025;0.0
N P D;14013;0.6;18131;0.7
OE D P;3170;0.1;10670;0.4
PATRIOTEN;2457;0.1;2390;0.1
FAMILIE;0;0.0;0;0.0
F S U;0;0.0;0;0.0
U A P;0;0.0;13202;0.5
