Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
S P D;331819;45.7;316502;43.5
C D U;318039;43.8;299329;41.2
C S U;0;0.0;0;0.0
F.D.P.;27327;3.8;49823;6.9
GRUENE;37148;5.1;51384;7.1
A S D;0;0.0;0;0.0
B P;0;0.0;0;0.0
C.B.V.;0;0.0;0;0.0
ZENTRUM;184;0.0;0;0.0
MUENDIGE;0;0.0;0;0.0
FRAUEN;0;0.0;0;0.0
F A P;0;0.0;0;0.0
M L P D;0;0.0;448;0.1
N P D;6119;0.8;5966;0.8
OE D P;1843;0.3;2764;0.4
PATRIOTEN;216;0.0;620;0.1
FAMILIE;0;0.0;0;0.0
F S U;0;0.0;0;0.0
U A P;0;0.0;3375;0.5
