Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
S P D;731077;43.0;679229;39.8
C D U;784199;46.1;715746;41.9
C S U;0;0.0;0;0.0
F.D.P.;72535;4.3;160861;9.4
GRUENE;99606;5.9;136051;8.0
A S D;0;0.0;0;0.0
B P;0;0.0;0;0.0
C.B.V.;0;0.0;0;0.0
ZENTRUM;0;0.0;0;0.0
MUENDIGE;0;0.0;0;0.0
FRAUEN;0;0.0;4514;0.3
F A P;0;0.0;0;0.0
M L P D;0;0.0;485;0.0
N P D;6203;0.4;8196;0.5
OE D P;0;0.0;0;0.0
PATRIOTEN;1433;0.1;1125;0.1
FAMILIE;0;0.0;0;0.0
F S U;110;0.0;0;0.0
U A P;0;0.0;6554;0.4
