Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
CDU;1098953;46.7;1078796;45.6
CSU;0;0.0;0;0.0
SPD;900973;38.3;853144;36.1
FDP;168221;7.2;245283;10.4
GRÜNE;114467;4.9;95596;4.0
PDS;0;0.0;4263;0.2
DSU;0;0.0;0;0.0
B90/Gr;0;0.0;0;0.0
BP;0;0.0;0;0.0
DDD;0;0.0;0;0.0
BSA;0;0.0;0;0.0
LIGA;0;0.0;0;0.0
CM;1396;0.1;4469;0.2
ÖKO-Union;0;0.0;0;0.0
DIE GRAUEN;5367;0.2;21279;0.9
Mündige;0;0.0;0;0.0
REP;38223;1.6;40910;1.7
Frauen;0;0.0;0;0.0
KPD;0;0.0;0;0.0
NPD;8104;0.3;7973;0.3
ÖDP;15413;0.7;12006;0.5
Patrioten;0;0.0;0;0.0
SpAD;0;0.0;0;0.0
VAA;0;0.0;0;0.0
EFP;0;0.0;630;0.0
