Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
CDU;0;0.0;0;0.0
SPD;2050292;30.7;1983979;29.6
FDP;206814;3.1;430125;6.4
CSU;3657627;54.8;3427196;51.2
GRÜNE;402398;6.0;419763;6.3
PDS;15120;0.2;36575;0.5
REP;194843;2.9;189752;2.8
APD;0;0.0;0;0.0
BP;3324;0.0;42491;0.6
BüSo;2817;0.0;1213;0.0
BSA;0;0.0;0;0.0
LIGA;3388;0.1;5195;0.1
CM;0;0.0;5099;0.1
ZENTRUM;0;0.0;0;0.0
GRAUE;12347;0.2;19077;0.3
NATURGESETZ;7941;0.1;8014;0.1
MLPD;267;0.0;809;0.0
Tierschutz;0;0.0;23458;0.4
ödp;107105;1.6;82065;1.2
PBC;309;0.0;8182;0.1
PASS;0;0.0;0;0.0
STATT Partei;468;0.0;10010;0.1
BGD;0;0.0;0;0.0
DSU;0;0.0;0;0.0
DEMOKRATEN;0;0.0;7599;0.1
FSU;0;0.0;0;0.0
LD;221;0.0;0;0.0
