Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
CDU;2155399;45.2;1971664;41.3
SPD;2078986;43.6;1938321;40.6
FDP;152398;3.2;368180;7.7
CSU;0;0.0;0;0.0
GRÜNE;274378;5.8;338087;7.1
PDS;20888;0.4;46731;1.0
REP;49458;1.0;57988;1.2
APD;0;0.0;0;0.0
BP;0;0.0;0;0.0
BüSo;2277;0.0;1222;0.0
BSA;0;0.0;0;0.0
LIGA;0;0.0;0;0.0
CM;242;0.0;0;0.0
ZENTRUM;0;0.0;0;0.0
GRAUE;14107;0.3;19527;0.4
NATURGESETZ;6986;0.1;6307;0.1
MLPD;0;0.0;559;0.0
Tierschutz;0;0.0;15878;0.3
ödp;6448;0.1;5623;0.1
PBC;2482;0.1;7221;0.2
PASS;0;0.0;0;0.0
STATT Partei;0;0.0;0;0.0
BGD;0;0.0;0;0.0
DSU;0;0.0;0;0.0
DEMOKRATEN;0;0.0;0;0.0
FSU;0;0.0;0;0.0
LD;0;0.0;0;0.0
