Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
CDU;596278;39.8;582294;38.8
SPD;512425;34.2;502193;33.4
FDP;52794;3.5;60968;4.1
CSU;0;0.0;0;0.0
GRÜNE;56920;3.8;53551;3.6
PDS;264007;17.6;270212;18.0
REP;12861;0.9;14641;1.0
APD;0;0.0;0;0.0
BP;0;0.0;0;0.0
BüSo;0;0.0;0;0.0
BSA;0;0.0;0;0.0
LIGA;0;0.0;0;0.0
CM;0;0.0;0;0.0
ZENTRUM;0;0.0;0;0.0
GRAUE;3008;0.2;7090;0.5
NATURGESETZ;0;0.0;0;0.0
MLPD;0;0.0;389;0.0
Tierschutz;0;0.0;0;0.0
ödp;0;0.0;1405;0.1
PBC;0;0.0;0;0.0
PASS;0;0.0;8640;0.6
STATT Partei;0;0.0;0;0.0
BGD;0;0.0;0;0.0
DSU;823;0.1;0;0.0
DEMOKRATEN;0;0.0;0;0.0
FSU;0;0.0;0;0.0
LD;0;0.0;0;0.0
