Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
SPD;792829;40.6;740915;37.8
CDU;504543;25.8;463438;23.7
CSU;0;0.0;0;0.0
GRÜNE;154929;7.9;221849;11.3
F.D.P.;47970;2.5;95403;4.9
PDS;325830;16.7;263337;13.4
Deutschland;0;0.0;0;0.0
APPD;0;0.0;2586;0.1
APD;1458;0.1;6759;0.3
BP;0;0.0;0;0.0
BüSo;638;0.0;625;0.0
BFB;9138;0.5;5624;0.3
CHANCE 2000;3206;0.2;5169;0.3
CM;0;0.0;0;0.0
DPD;0;0.0;0;0.0
DVU;41671;2.1;21204;1.1
GRAUE.1;17508;0.9;69475;3.5
REP.1;46542;2.4;0;0.0
FAMILIE.1;0;0.0;0;0.0
DIE FRAUEN.1;2817;0.1;171;0.0
HP.1;435;0.0;15570;0.8
MLPD;286;0.0;470;0.0
Tierschutz;0;0.0;9372;0.5
NPD;3110;0.2;7897;0.4
NATURGESETZ;4224;0.2;2605;0.1
FORUM;0;0.0;0;0.0
ödp;2311;0.1;1513;0.1
PBC;0;0.0;0;0.0
AB 2000;0;0.0;0;0.0
Nichtwähler;0;0.0;9141;0.5
PASS.1;5556;0.3;298;0.0
DKP;0;0.0;0;0.0
ZENTRUM;0;0.0;0;0.0
FP Deutschl.;0;0.0;0;0.0
STATT Partei;0;0.0;2818;0.1
