Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
SPD;221309;55.3;201539;50.2
CDU;114819;28.7;102115;25.4
CSU;0;0.0;0;0.0
GRÜNE;34991;8.7;45303;11.3
F.D.P.;11536;2.9;23809;5.9
PDS;8354;2.1;9815;2.4
Deutschland;0;0.0;0;0.0
APPD;0;0.0;618;0.2
APD;0;0.0;0;0.0
BP;0;0.0;0;0.0
BüSo;0;0.0;0;0.0
BFB;0;0.0;725;0.2
CHANCE 2000;0;0.0;473;0.1
CM;0;0.0;0;0.0
DPD;0;0.0;0;0.0
DVU;6667;1.7;2121;0.5
GRAUE.1;1989;0.5;3781;0.9
REP.1;2721;0.7;0;0.0
FAMILIE.1;0;0.0;0;0.0
DIE FRAUEN.1;0;0.0;0;0.0
HP.1;0;0.0;3859;1.0
MLPD;150;0.0;0;0.0
Tierschutz;0;0.0;0;0.0
NPD;2268;0.6;1134;0.3
NATURGESETZ;0;0.0;734;0.2
FORUM;0;0.0;0;0.0
ödp;0;0.0;0;0.0
PBC;0;0.0;0;0.0
AB 2000;0;0.0;0;0.0
Nichtwähler;0;0.0;0;0.0
PASS.1;0;0.0;0;0.0
DKP;0;0.0;0;0.0
ZENTRUM;0;0.0;0;0.0
FP Deutschl.;0;0.0;0;0.0
STATT Partei;0;0.0;1151;0.3
