Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
SPD;380843;55.4;361486;52.4
CDU;242877;35.3;219484;31.8
CSU;0;0.0;0;0.0
GRÜNE;23193;3.4;37807;5.5
F.D.P.;13972;2.0;32517;4.7
PDS;3417;0.5;7087;1.0
Deutschland;0;0.0;0;0.0
APPD;0;0.0;875;0.1
APD;0;0.0;0;0.0
BP;0;0.0;0;0.0
BüSo;0;0.0;0;0.0
BFB;0;0.0;824;0.1
CHANCE 2000;0;0.0;0;0.0
CM;541;0.1;945;0.1
DPD;0;0.0;0;0.0
DVU;6208;0.9;4452;0.6
GRAUE.1;3310;0.5;8472;1.2
REP.1;8240;1.2;4839;0.7
FAMILIE.1;3746;0.5;0;0.0
DIE FRAUEN.1;510;0.1;0;0.0
HP.1;0;0.0;3473;0.5
MLPD;72;0.0;0;0.0
Tierschutz;0;0.0;0;0.0
NPD;3096;0.5;1988;0.3
NATURGESETZ;198;0.0;0;0.0
FORUM;0;0.0;0;0.0
ödp;522;0.1;808;0.1
PBC;0;0.0;0;0.0
AB 2000;0;0.0;0;0.0
Nichtwähler;0;0.0;0;0.0
PASS.1;0;0.0;0;0.0
DKP;300;0.0;0;0.0
ZENTRUM;0;0.0;0;0.0
FP Deutschl.;0;0.0;0;0.0
STATT Partei;0;0.0;302;0.0
