Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
SPD;4977190;47.6;4499388;43.0
CDU;4017024;38.4;3675732;35.1
CSU;0;0.0;0;0.0
GRÜNE;556814;5.3;930684;8.9
FDP;672985;6.4;978841;9.3
PDS;118396;1.1;125446;1.2
REP;4035;0.0;40669;0.4
GRAUE;13327;0.1;22199;0.2
Tierschutz;0;0.0;38146;0.4
NPD;3686;0.0;25883;0.2
ödp;4196;0.0;4811;0.0
PBC;5577;0.1;15358;0.1
DIE FRAUEN;0;0.0;9226;0.1
BP;0;0.0;0;0.0
FAMILIE;4108;0.0;22820;0.2
CM;0;0.0;4116;0.0
BüSo;1184;0.0;1561;0.0
HP;291;0.0;1148;0.0
Violetten;840;0.0;2412;0.0
AUFBRUCH;0;0.0;0;0.0
ZENTRUM;671;0.0;3127;0.0
KPD;0;0.0;0;0.0
PRG;1793;0.0;0;0.0
Schill;68915;0.7;70993;0.7
Deutschland;259;0.0;551;0.0
DSU;0;0.0;0;0.0
