Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
SPD;838614;32.5;861685;33.3
CDU;956359;37.0;868167;33.6
CSU;0;0.0;0;0.0
GRÜNE;90379;3.5;119530;4.6
FDP;173297;6.7;187759;7.3
PDS;456823;17.7;418329;16.2
REP;4504;0.2;26190;1.0
GRAUE;8866;0.3;14751;0.6
Tierschutz;0;0.0;0;0.0
NPD;26658;1.0;36814;1.4
ödp;0;0.0;0;0.0
PBC;11264;0.4;15509;0.6
DIE FRAUEN;0;0.0;0;0.0
BP;0;0.0;0;0.0
FAMILIE;0;0.0;0;0.0
CM;0;0.0;0;0.0
BüSo;7087;0.3;6801;0.3
HP;0;0.0;0;0.0
Violetten;0;0.0;0;0.0
AUFBRUCH;0;0.0;0;0.0
ZENTRUM;0;0.0;0;0.0
KPD;0;0.0;0;0.0
PRG;0;0.0;0;0.0
Schill;0;0.0;31565;1.2
Deutschland;0;0.0;0;0.0
DSU;3844;0.1;2003;0.1
