Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
SPD;827708;47.8;743838;42.9
CDU;691470;39.9;625100;36.0
CSU;0;0.0;0;0.0
GRÜNE;86292;5.0;162425;9.4
FDP;91615;5.3;139417;8.0
PDS;20998;1.2;22579;1.3
REP;0;0.0;2442;0.1
GRAUE;2173;0.1;4313;0.2
Tierschutz;0;0.0;0;0.0
NPD;2057;0.1;4701;0.3
ödp;0;0.0;0;0.0
PBC;3327;0.2;3850;0.2
DIE FRAUEN;0;0.0;0;0.0
BP;0;0.0;0;0.0
FAMILIE;0;0.0;0;0.0
CM;0;0.0;0;0.0
BüSo;0;0.0;0;0.0
HP;0;0.0;0;0.0
Violetten;0;0.0;0;0.0
AUFBRUCH;0;0.0;0;0.0
ZENTRUM;0;0.0;0;0.0
KPD;0;0.0;0;0.0
PRG;0;0.0;0;0.0
Schill;0;0.0;26294;1.5
Deutschland;0;0.0;907;0.1
DSU;0;0.0;0;0.0
