Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
SPD;608044.0;38.9;561689.0;35.8
CDU;358754.0;22.9;322400.0;20.6
CSU;;;;
GRÜNE;44562.0;2.8;80253.0;5.1
FDP;66723.0;4.3;107736.0;6.9
Die Linke.;423111.0;27.0;416359.0;26.6
Offensive D;444.0;0.0;;
REP;;;;
NPD;51389.0;3.3;50280.0;3.2
Die Tierschutzpartei;;;;
GRAUE;;;14847.0;0.9
PBC;;;;
DIE FRAUEN;;;;
FAMILIE;7199.0;0.5;;
BüSo;;;;
BP;;;;
ZENTRUM;;;;
Deutschland;;;;
AGFG;;;;
APPD;;;;
50Plus;;;10536.0;0.7
MLPD;;;3514.0;0.2
Die PARTEI;;;;
PSG;;;;
Pro DM;;;;
CM;;;;
DSU;;;;
HP;;;;
HUMANWIRTSCHAFTS- PARTEI;;;;
STATT Partei;;;;
UNABHÄNGIGE;;;;
Übrige;4744.0;0.3;;
