Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
SPD;447335.0;47.5;365546.0;38.7
CDU;320444.0;34.0;272418.0;28.9
CSU;;;;
GRÜNE;85730.0;9.1;140751.0;14.9
FDP;32904.0;3.5;84593.0;9.0
Die Linke.;44503.0;4.7;59463.0;6.3
Offensive D;;;;
REP;;;;
NPD;10135.0;1.1;9463.0;1.0
Die Tierschutzpartei;;;6864.0;0.7
GRAUE;;;;
PBC;460.0;0.0;;
DIE FRAUEN;;;;
FAMILIE;;;;
BüSo;;;;
BP;;;;
ZENTRUM;;;;
Deutschland;;;;
AGFG;;;;
APPD;;;1319.0;0.1
50Plus;;;;
MLPD;;;441.0;0.0
Die PARTEI;;;2506.0;0.3
PSG;;;;
Pro DM;;;;
CM;;;;
DSU;;;;
HP;;;;
HUMANWIRTSCHAFTS- PARTEI;;;;
STATT Partei;;;;
UNABHÄNGIGE;;;;
Übrige;715.0;0.1;;
