Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
SPD;12079758.0;27.9;9990488.0;23.0
CDU;13856674.0;32.0;11828277.0;27.3
FDP;4076496.0;9.4;6316080.0;14.6
DIE LINKE;4791124.0;11.1;5155933.0;11.9
GRÜNE;3977125.0;9.2;4643272.0;10.7
CSU;3191000.0;7.4;2830238.0;6.5
NPD;768442.0;1.8;635525.0;1.5
REP;30061.0;0.1;193396.0;0.4
FAMILIE;17848.0;0.0;120718.0;0.3
Die Tierschutzpartei;16887.0;0.0;230872.0;0.5
PBC;12052.0;0.0;40370.0;0.1
MLPD;17512.0;0.0;29261.0;0.1
BüSo;34894.0;0.1;38706.0;0.1
BP;32324.0;0.1;48311.0;0.1
PSG;;;2957.0;0.0
Volksabstimmung;2550.0;0.0;23015.0;0.1
ZENTRUM;369.0;0.0;6087.0;0.0
ADM;396.0;0.0;2889.0;0.0
CM;;;6826.0;0.0
DKP;929.0;0.0;1894.0;0.0
DVU;;;45752.0;0.1
DIE VIOLETTEN;5794.0;0.0;31957.0;0.1
FWD;;;11243.0;0.0
ödp;105653.0;0.2;132249.0;0.3
PIRATEN;46770.0;0.1;847870.0;2.0
RRP;37946.0;0.1;100605.0;0.2
RENTNER;;;56399.0;0.1
Freie Union;6121.0;0.0;;
Übrige;139275.0;0.3;;
