Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
SPD;1026094.0;32.3;812721.0;25.6
CDU;1251139.0;39.4;1022822.0;32.2
FDP;305043.0;9.6;527432.0;16.6
DIE LINKE;225775.0;7.1;271455.0;8.5
GRÜNE;287044.0;9.0;381948.0;12.0
CSU;;;;
NPD;44260.0;1.4;35929.0;1.1
REP;6863.0;0.2;19240.0;0.6
FAMILIE;;;;
Die Tierschutzpartei;14670.0;0.5;31917.0;1.0
PBC;;;;
MLPD;489.0;0.0;1137.0;0.0
BüSo;1357.0;0.0;3746.0;0.1
BP;;;;
PSG;;;;
Volksabstimmung;;;;
ZENTRUM;;;;
ADM;396.0;0.0;;
CM;;;;
DKP;;;;
DVU;;;2516.0;0.1
DIE VIOLETTEN;;;;
FWD;;;;
ödp;;;;
PIRATEN;3866.0;0.1;66708.0;2.1
RRP;;;;
RENTNER;;;;
Freie Union;;;;
Übrige;5043.0;0.2;;
