Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
CDU;384607.0;44.4;369048.0;42.5
SPD;165660.0;19.1;154431.0;17.8
FDP;11891.0;1.4;18968.0;2.2
DIE LINKE;204479.0;23.6;186871.0;21.5
GRÜNE;33232.0;3.8;37716.0;4.3
CSU;;;;
PIRATEN;19783.0;2.3;16563.0;1.9
NPD;29218.0;3.4;23735.0;2.7
Tierschutzpartei;;;;
REP;;;663.0;0.1
ÖDP;;;;
FAMILIE;;;;
Bündnis 21/RRP;;;;
RENTNER;;;;
BP;;;;
PBC;;;;
BüSo;;;;
DIE VIOLETTEN;;;;
MLPD;1036.0;0.1;1166.0;0.1
Volksabstimmung;;;;
PSG;;;;
AfD;;;48885.0;5.6
BIG;;;;
pro Deutschland;;;1693.0;0.2
DIE RECHTE;;;;
DIE FRAUEN;;;;
FREIE WÄHLER;11713.0;1.4;8004.0;0.9
Nichtwähler;;;;
PARTEI DER VERNUNFT;;;;
Die PARTEI;;;;
B;;;;
BGD;;;;
DKP;;;;
Übrige;4125.0;0.5;;
