Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
CDU;508083.0;41.3;477283.0;38.8
SPD;236502.0;19.2;198714.0;16.1
FDP;19282.0;1.6;32101.0;2.6
DIE LINKE;298821.0;24.3;288615.0;23.4
GRÜNE;45926.0;3.7;60511.0;4.9
CSU;;;;
PIRATEN;30780.0;2.5;29499.0;2.4
NPD;46036.0;3.7;39107.0;3.2
Tierschutzpartei;;;;
REP;;;2593.0;0.2
ÖDP;3860.0;0.3;7900.0;0.6
FAMILIE;;;;
Bündnis 21/RRP;;;;
RENTNER;;;;
BP;;;;
PBC;;;;
BüSo;;;;
DIE VIOLETTEN;;;;
MLPD;835.0;0.1;1744.0;0.1
Volksabstimmung;;;;
PSG;;;;
AfD;23981.0;2.0;76013.0;6.2
BIG;;;;
pro Deutschland;;;;
DIE RECHTE;;;;
DIE FRAUEN;;;;
FREIE WÄHLER;13874.0;1.1;17613.0;1.4
Nichtwähler;;;;
PARTEI DER VERNUNFT;351.0;0.0;;
Die PARTEI;;;;
B;;;;
BGD;;;;
DKP;;;;
Übrige;1053.0;0.1;;
