Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
Christlich Demokratische Union Deutschlands;1767316.0;29.7;1477612.0;24.8
Sozialdemokratische Partei Deutschlands;1247455.0;21.0;1287934.0;21.6
Alternative für Deutschland;561058.0;9.4;571336.0;9.6
Freie Demokratische Partei;711697.0;12.0;908039.0;15.3
DIE LINKE;175691.0;3.0;196874.0;3.3
BÜNDNIS 90/DIE GRÜNEN;1058334.0;17.8;1022226.0;17.2
Christlich-Soziale Union in Bayern e.V.;;;;
FREIE WÄHLER;143422.0;2.4;103611.0;1.7
PARTEI MENSCH UMWELT TIERSCHUTZ;21822.0;0.4;74702.0;1.3
Piratenpartei Deutschland;3438.0;0.1;21530.0;0.4
Ökologisch-Demokratische Partei;17041.0;0.3;17637.0;0.3
DEMOKRATIE IN BEWEGUNG;2609.0;0.0;5388.0;0.1
Bayernpartei;;;;
Marxistisch-Leninistische Partei Deutschlands;3541.0;0.1;2248.0;0.0
Menschliche Welt - für das Wohl und Glücklichsein aller;351.0;0.0;;
Deutsche Kommunistische Partei;;;1107.0;0.0
Bürgerrechtsbewegung Solidarität;62.0;0.0;;
Partei der Humanisten;4702.0;0.1;6775.0;0.1
Gartenpartei;;;;
Die Urbane. Eine HipHop Partei;;;;
Basisdemokratische Partei Deutschland;127340.0;2.1;114919.0;1.9
Bündnis C - Christen für Deutschland;452.0;0.0;12625.0;0.2
Bürgerbewegung für Fortschritt und Wandel;1556.0;0.0;7491.0;0.1
DER DRITTE WEG;;;;
diePinken/BÜNDNIS21;;;1936.0;0.0
Europäische Partei LIEBE;;;;
Partei des Fortschritts;;;;
Südschleswigscher Wählerverband;;;;
UNABHÄNGIGE für bürgernahe Demokratie;;;;
Volt Deutschland;11146.0;0.2;20620.0;0.3
Ab jetzt...Demokratie durch Volksabstimmung - Politik für die Menschen;;;;
DIE SONSTIGEN - X;;;;
Familien-Partei Deutschlands;;;;
Graue Panther;;;;
Klimaliste Baden-Württemberg;3967.0;0.1;;
Thüringer Heimatpartei;;;;
Übrige;5570.0;0.1;;
