Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
Christlich Demokratische Union Deutschlands;264026.0;20.9;213414.0;16.9
Sozialdemokratische Partei Deutschlands;299024.0;23.7;296446.0;23.4
Alternative für Deutschland;298971.0;23.7;303233.0;24.0
Freie Demokratische Partei;89008.0;7.0;114283.0;9.0
DIE LINKE;155618.0;12.3;144693.0;11.4
BÜNDNIS 90/DIE GRÜNEN;68185.0;5.4;83220.0;6.6
Christlich-Soziale Union in Bayern e.V.;;;;
FREIE WÄHLER;31190.0;2.5;27151.0;2.1
PARTEI MENSCH UMWELT TIERSCHUTZ;;;18973.0;1.5
Piratenpartei Deutschland;1313.0;0.1;6291.0;0.5
Ökologisch-Demokratische Partei;2715.0;0.2;2456.0;0.2
DEMOKRATIE IN BEWEGUNG;;;;
Bayernpartei;;;;
Marxistisch-Leninistische Partei Deutschlands;3875.0;0.3;2570.0;0.2
Menschliche Welt - für das Wohl und Glücklichsein aller;;;3400.0;0.3
Deutsche Kommunistische Partei;;;;
Bürgerrechtsbewegung Solidarität;;;;
Partei der Humanisten;;;1357.0;0.1
Gartenpartei;;;;
Die Urbane. Eine HipHop Partei;;;;
Basisdemokratische Partei Deutschland;19932.0;1.6;20189.0;1.6
Bündnis C - Christen für Deutschland;;;;
Bürgerbewegung für Fortschritt und Wandel;;;;
DER DRITTE WEG;;;;
diePinken/BÜNDNIS21;;;;
Europäische Partei LIEBE;;;;
Partei des Fortschritts;;;;
Südschleswigscher Wählerverband;;;;
UNABHÄNGIGE für bürgernahe Demokratie;;;;
Volt Deutschland;;;3566.0;0.3
Ab jetzt...Demokratie durch Volksabstimmung - Politik für die Menschen;;;;
DIE SONSTIGEN - X;;;;
Familien-Partei Deutschlands;;;;
Graue Panther;961.0;0.1;;
Klimaliste Baden-Württemberg;;;;
Thüringer Heimatpartei;549.0;0.0;;
Übrige;4494.0;0.4;;
