Merkmal;Bundestagswahl am 23.02.2025 in Hessen;;;;Zum Vergleich:;;;;Differenz der Zweitstimme in %-Punkten
;;;;;Bundestagswahl am 26.09.2021 in Hessen;;;;
;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;
;Anzahl;%;Anzahl;%;Anzahl;%;Anzahl;%;%;
SPD;;;;+23,2;;;;;;;
CDU;;;;+32,3;;;;;;;
GRÜNE;;;;+11,5;;;;;;;
FDP;;;;+3,6;;;;;;;
AfD;;;;+17,7;;;;;;;
Die Linke;;;;+7,2;;;;
Tierschutzpartei;;;;;;;;
Die PARTEI;;;;;;;;
dieBasis;;;;;;;;
Team Todenhöfer;;;;;;;;
FREIE WÄHLER;;;;;;;;
Volt;;;;;;;;
MLPD;;;;;;;;
PdF;;;;;;;;
BÜNDNIS DEUTSCHLAND;;;;;;;;
BSW;;;;;;;;
MERA25;;;;;;;;
WerteUnion;;;;;;;;
Einzelbewerber/-innen;;;;;;;;
Sonstige;;;;;;;;
X = Tabellenfach gesperrt, da Aussage nicht sinnvoll.
