Merkmal;Bundestagswahl am 23.02.2025 in Sachsen;;;;Zum Vergleich:;;;;Differenz der Zweitstimme in %-Punkten
;;;;;Bundestagswahl am 26.09.2021 in Sachsen;;;;
;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;
;Anzahl;%;Anzahl;%;Anzahl;%;Anzahl;%;%;
SPD;;;;+9,7;;;;;;;
CDU;;;;+23,9;;;;;;;
GRÜNE;;;;+5,0;;;;;;;
FDP;;;;+2,7;;;;;;;
AfD;;;;+38,5;;;;;;;
Die Linke;;;;+12,8;;;;
Tierschutzpartei;;;;;;;;
Die PARTEI;;;;;;;;
dieBasis;;;;;;;;
Team Todenhöfer;;;;;;;;
FREIE WÄHLER;;;;;;;;
Volt;;;;;;;;
MLPD;;;;;;;;
PdF;;;;;;;;
BÜNDNIS DEUTSCHLAND;;;;;;;;
BSW;;;;;;;;
MERA25;;;;;;;;
WerteUnion;;;;;;;;
Einzelbewerber/-innen;;;;;;;;
Sonstige;;;;;;;;
X = Tabellenfach gesperrt, da Aussage nicht sinnvoll.
